strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2025-12-31,2026-01-02,271.755128277,1000,998.003992016,0,3.6724384866,0,1,1,3.6724384866,271.755128277,272.298638534,0.998003992016,0,1.99600798403,0,True,-0.00199600798403,-1.99600798403,-0.00199600798403,2025-12-31,2026-01-02,271.755128277,1000,998.003992016,0,3.6724384866,0,1,1,3.6724384866,271.755128277,272.298638534,0.998003992016,0,1.99600798403,0,True,-0.00199600798403,-1.99600798403,-0.00199600798403,0
2026-01-02,2026-01-05,270.138141318,992.065706872,992.065706872,0,3.6724384866,1,1,1,0,270.138141318,270.138141318,0,0,0,0,False,-0.00595016171432,-5.93828514403,-0.00793429312806,2026-01-02,2026-01-05,270.138141318,992.065706872,992.065706872,0,3.6724384866,1,1,1,0,270.138141318,270.138141318,0,0,0,0,False,-0.00595016171432,-5.93828514403,-0.00793429312806,0
2026-01-05,2026-01-06,266.504884488,978.722794659,978.722794659,0,3.6724384866,1,1,1,0,266.504884488,266.504884488,0,0,0,0,False,-0.0134496254843,-13.3429122132,-0.0212772053413,2026-01-05,2026-01-06,266.504884488,978.722794659,978.722794659,0,3.6724384866,1,1,1,0,266.504884488,266.504884488,0,0,0,0,False,-0.0134496254843,-13.3429122132,-0.0212772053413,0
2026-01-06,2026-01-07,262.711932445,964.793411599,964.793411599,0,3.6724384866,1,1,1,0,262.711932445,262.711932445,0,0,0,0,False,-0.0142322045993,-13.9293830595,-0.0352065884009,2026-01-06,2026-01-07,262.711932445,964.793411599,964.793411599,0,3.6724384866,1,1,1,0,262.711932445,262.711932445,0,0,0,0,False,-0.0142322045993,-13.9293830595,-0.0352065884009,0
2026-01-07,2026-01-08,256.543357845,942.139700831,942.139700831,0,3.6724384866,1,1,1,0,256.543357845,256.543357845,0,0,0,0,False,-0.023480374654,-22.653710768,-0.0578602991689,2026-01-07,2026-01-08,256.543357845,942.139700831,942.139700831,0,3.6724384866,1,1,1,0,256.543357845,256.543357845,0,0,0,0,False,-0.023480374654,-22.653710768,-0.0578602991689,0
2026-01-08,2026-01-09,258.599536829,949.690891665,949.690891665,0,3.6724384866,1,1,1,0,258.599536829,258.599536829,0,0,0,0,False,0.00801493751629,7.55119083378,-0.0503091083351,2026-01-08,2026-01-09,258.599536829,949.690891665,949.690891665,0,3.6724384866,1,1,1,0,258.599536829,258.599536829,0,0,0,0,False,0.00801493751629,7.55119083378,-0.0503091083351,0
2026-01-09,2026-01-12,258.67938957,949.984145946,949.984145946,0,3.6724384866,1,1,1,0,258.67938957,258.67938957,0,0,0,0,False,0.000308789190363,0.293254281532,-0.0500158540536,2026-01-09,2026-01-12,258.67938957,949.984145946,949.984145946,0,3.6724384866,1,1,1,0,258.67938957,258.67938957,0,0,0,0,False,0.000308789190363,0.293254281532,-0.0500158540536,0
2026-01-12,2026-01-13,258.240221689,948.371328916,948.371328916,0,3.6724384866,1,1,1,0,258.240221689,258.240221689,0,0,0,0,False,-0.00169773046987,-1.61281703046,-0.051628671084,2026-01-12,2026-01-13,258.240221689,948.371328916,948.371328916,0,3.6724384866,1,1,1,0,258.240221689,258.240221689,0,0,0,0,False,-0.00169773046987,-1.61281703046,-0.051628671084,0
2026-01-13,2026-01-14,259.008775653,951.193796073,951.193796073,0,3.6724384866,1,1,1,0,259.008775653,259.008775653,0,0,0,0,False,0.00297612029241,2.82246715673,-0.0488062039273,2026-01-13,2026-01-14,259.008775653,951.193796073,951.193796073,0,3.6724384866,1,1,1,0,259.008775653,259.008775653,0,0,0,0,False,0.00297612029241,2.82246715673,-0.0488062039273,0
2026-01-14,2026-01-15,260.166648391,955.44601248,955.44601248,0,3.6724384866,1,1,1,0,260.166648391,260.166648391,0,0,0,0,False,0.00447039964432,4.25221640764,-0.0445539875197,2026-01-14,2026-01-15,260.166648391,955.44601248,955.44601248,0,3.6724384866,1,1,1,0,260.166648391,260.166648391,0,0,0,0,False,0.00447039964432,4.25221640764,-0.0445539875197,0
